,text_id,model_description,prompt,generated_text,diversity,coherence
13,13,_ssd0_data_fast-llm_opt-13b__beam_1_,"if an explosive were to blow a 50 square foot hole in the wall, then over one million gallons of water per minute would flood in. This information has not been shared"," with me.
And? That is an oddly specific number
That was an oddly specific response
How was my response oddly specific?
An oddly specific amount of water, it is hard to visualize one million gallons. It's the difference between the Mississippi flowing for an entire week, or flowing for the next 300 years
An oddly specific number is oddly specific, what was hard to visualize was a hole the size of a football field
How big was a football field again?
Bigger than",0.79865625,0.4391903281211853
14,14,_ssd0_data_fast-llm_opt-13b__beam_1_,"Thursday, March 17, 2005 Studies of Mars point to evidence of the presence of liquid water on the planet's surface and a vast amount of underground ice near the equator within the"," last billion years, raising the prospect that microbial life could have once flourished there, NASA said on Thursday. The space agency released its Mars Climate Sounder instrument, the most precise radiometer to date that measures atmospheric temperatures on the Red Planet and could shed new light on Mars' water cycle, geologic evolution, atmosphere, climate, and habitability. NASA has launched its Phoenix Mars lander that is due to touch down in the north polar region in the summer. NASA is planning a human mission to",0.9878,0.6378175020217896
15,15,_ssd0_data_fast-llm_opt-13b__beam_1_,"Friday, June 3, 2005 Irish low fares airline, Ryanair, has reported that passenger numbers for May 2005 are up 34%. This represented the largest increase in traffic for over a year, and"," an increase of 10.1 million passengers, an increase of 18.8%, when compared to the same month in 2004.",0.8166375,0.6328167915344238
16,16,_ssd0_data_fast-llm_opt-13b__beam_1_,"27 p.m. It had received a total of 630 posts over 53 pages. ""It is unfortunate if someone knew that the man planned to kill himself and did not do anything to"," save his life. That's murder, ""a woman commented. The girl is an engineering graduate, he is an auto mechanic, the deceased's elder sister. The deceased is survived by a brother. He is the younger of the two children and is pursuing BBA, police said. A native of Salem in Tamil Nadu, the girl, a BPO employee, is pursuing MCom and the man had completed BCom, the police added. A resident of Perungudi in the city, the",0.973,0.272941529750824
17,17,_ssd0_data_fast-llm_opt-13b__beam_1_,"homosexual couples are entitled to the same rights and privileges as heterosexual couples, but also said that totally legalizing gay marriages in the state will be up to the New Jersey Legislature",", and he's against that, and thinks the Supreme Court got it right, which was his legal reasoning, I don't see the contradiction there
But the SCOTUS is a liberal activist court and doesn't apply the constitution the way the Founders wanted, right?
He is the SCOTUS
You think Scalia was an originalist? He's the posterboy of activist courts, the very court you were railing about in this very post.  I think the Founders were idiots that got it all",0.9615,0.15160033106803894
18,18,_ssd0_data_fast-llm_opt-13b__beam_1_,"30 a.m. CDT (UTC-5) a home in Chicago suburb, Lake in the Hills, Illinois, was raided. The FBI Counterterrorism Division conducted the search of the house on the 5700 block of McKenzie"," Court, the Lake County States Attorney's Office told Ars on Sunday. The raid is said to have taken place with the knowledge and assistance of Lake County State's Attorney Mike Nerheim's office, the States Attorney's Office confirmed to Ars. The Lake County States Attorney's Office would not give Ars the identity of the homeowner. The homeowner is the uncle of Siraj Ibn Wahhaj, 39, of Clayton County, Georgia. Wahhaj was taken into custody, and authorities took Wahhaj",0.834147987678,0.4826158881187439
19,19,_ssd0_data_fast-llm_opt-13b__beam_1_,"65 buses were put on fire, 16 banks, 2 supermarkets and several other buildings were shot or attacked with bombs. The attacks are occurring in the state's capital São Paulo and at"," the airport Santos Dumont in Rio de Janeiro, with a series of bombs going off. The violence comes on the first anniversary of a military intervention by the army. The attacks come a week before the Confederations Cup kicks off on Saturday in Sao Paulo, when the hosts take on Italy in the tournament opener. The Confederations Cup will be Brazil's biggest sports event of the year and is seen by the authorities as an important opportunity for Brazil to present a more democratic face. Brazil was thrown into political",0.9773,0.5145783424377441
20,20,_ssd0_data_fast-llm_opt-13b__beam_1_,"Lack of men in childcare denies young children role models"" — Liberal Democrats, November 25, 2008 A Pakistani hacker group named the Pakistan Cyber Army has reportedly attacked the official website of"," the ruling Awami Muslim League of the Awami Muslim League. According to Pakistani daily the Nation, the Pakistan Cyber Army launched the cyber attack to protest the Awami League for supporting a blasphemy case against Asia Bibi, a Christian woman from Punjab accused of committing blasphemy and sentenced to death on Nov. 02, 2007. According to Pakistani daily Dawn, the hacker group warned that the Awami Muslim League would pay a high price if it did not drop the blasphemy case. In Pakistan blasphemy is a capital",0.8524258100800001,0.6123309135437012
21,21,_ssd0_data_fast-llm_opt-13b__beam_1_,"38, close to his family members, his personal doctor, a US doctor, and his close staff. President Rugova suffered from lung cancer, diagnosed in end of August 2005. He fought his illness"," for about 8 years and on Sunday he breathed his last in Tirana, Albania.",1.0,0.39424002170562744
22,22,_ssd0_data_fast-llm_opt-13b__beam_1_,"Principal, teacher arrested for allegedly whipping two students late for school in Ayetoro, Nigeria Location of Nigeria Collaborate! According to witness reports, Boko Haram gunmen and suicide bombers killed at least fifteen"," people, including at least 12 farmers in Borno.

Police rescue over 120 school girls in Borno. Boko Haram. School Girls Kidnapped From Borno Village Return To Borno Village After Spending Five Days With Boko Haram. Boko Haram Releases 82 Girls Kidnapped In Northeast Nigeria, Police Say. Boko Haram Kidnaps Five Girls In Maiduguri. Aisha Yusuf. School Girl Kidnapped In Borno Freed After Parents Raise Ransom. Borno School Kidn",0.9091,0.6205229163169861
23,23,_ssd0_data_fast-llm_opt-13b__beam_1_,"French campaigning film director René Vautier dies ...More articles here Location of Algeria To write, edit, start or view other articles on Algeria, see the Algeria Portal Wednesday, January 2, 2008 A",". D. Location of Algeria Algeria, officially the Democratic People's Republic of Algeria (Arabic:الدولة العربية الدموية الاشتراكية‎al-Dawlah al-Islāmiyyah al-'Adawiyyah), is the northernmost of Algeria's seven wilayats or governorates and is bordered on the northwest by Libya, on the north and northwest by Mali,",0.9268,0.354049414396286
24,24,_ssd0_data_fast-llm_opt-13b__beam_1_,"Saturday, January 14, 2017 Reports yesterday indicated a 63-year-old man has been charged in connection with the collapse of a pedestrian bridge onto the M20 motorway in Kent, England last year. The"," incident on 7 March killed six people.

Saturday, December 3, 2016 Police have made three more arrests as the investigation into the collapse of the footbridge which killed six people on 7 March moves on.",0.88073608,0.6041728258132935
25,25,_ssd0_data_fast-llm_opt-13b__beam_1_,"Friday, January 19, 2007 On the 18th of December, Google held the ""Unbound"" event that attracted about 300 people, who gathered at the New York Public Library. The event's visitors met to"," listen to an entertaining talk on the state of search from Matt Cutts, an employee at the company and its web spam fighter, as well as listen to Google cofounder Larry Page share his vision on search, the Web, and technology. The talk, as you would expect, was peppered with geek humor. Cutts opened by sharing Google's search stats from the previous month and talked about the growth in its market share, and that the number of sites crawled had more than tripled. Cutts",0.9878,0.3017587661743164
26,26,_ssd0_data_fast-llm_opt-13b__beam_1_,"Djokovic withdraws from Wimbledon Championships Collaborate! Yesterday, Spanish tennis player and world number 1 ranked Rafael Nadal withdrew from the ATP Paris Masters suffering from a knee injury. Nadal decided to leave"," Paris a couple of hours after beating Gilles Muller of Luxemburg, the player with the second position of the ATP rankings, with the score 6-1 and 7-5 in two hours and 22 minutes. Nadal did not play his quarter final match, in order to take the right treatment in his right knee and be fit in time to defend the Wimbledon crown, that begins this Monday in the All England club in England. Nadal did not play the Davis Cup quarter-final tie in",0.9150641955,0.7353354096412659
27,27,_ssd0_data_fast-llm_opt-13b__beam_1_,Internet portal Internet History of the Internet Internet censorship Internet Protocol World Wide Web New reports indicate that the proliferation of the Conficker computer worm (also known as Kido or Downadup) has," now passed the three million mark, as security companies rush to stem its spread.",1.0,0.3753460645675659
28,28,_ssd0_data_fast-llm_opt-13b__beam_1_,"Monday, June 18, 2007 South Thailand insurgency Related stories Islamic insurgents kill three in Thailand Insurgent attack in South Thailand injures 24 40 injured after attacks in Thailand Police officer killed, at"," least 7 hurt in insurgent attacks in South Thailand Attacks kill 4 people, wound over a dozen in southern Thailand Gunmen open fire, wound 4 at market in Thailand Attack wounds 9, wounds Thai officer, wounds soldier in southern Thailand Shootout wounds Thai soldier, injures 7 in Thailand Insurgents open fire in market, wound Thai, wound 2 foreigners in southern Thailand Shooting wounds soldier, wounds tourist, injures 8 in southern Thailand Attacks wound tourists, wound soldier, wound 2 foreigners in Thailand Gunmen",0.774444826,0.8313162326812744
29,29,_ssd0_data_fast-llm_opt-13b__beam_1_,"Real Madrid agrees with Chelsea FC to sign goalkeeper Thibaut Courtois Collaborate! Yesterday, Catalonia-based football club FC Barcelona defeated Chinese Guangzhou Evergrande FC 3–0 at Nissan Stadium in Yokohama in a FIFA"," Club World Cup quarterfinal game to qualify for the tournament's semifinal match on February 10, reports Xinhua. FC Barcelona has beaten Chelsea FC of the English Premier League to clinch the signature of Thibaut Courtois, one of the best goalkeepers in the world. Courtois is on the verge of moving from the Blues to Real Madrid this summer and the La Liga side is said to be working to wrap up the transfer, with the Blues due a reported 30 million pounds as a result",0.9759,0.6136606335639954
30,30,_ssd0_data_fast-llm_opt-13b__beam_1_,"GitHub blocks public access to youtube-dl after RIAA issues DMCA notice Location of Germany Collaborate! Local police reports say that 47 people were injured and 60 arrested in Hamburg, Germany, following violence"," by Antifa extremists, and the mayor is demanding the violence end. Antifa are fascists. This violence has got to end, or Trump is going to declare Antifa a domestic terror organisation, and shut it down. Posted by: Ace of Spades at 10:10 AM

MuNuvians MeeNuvians Polls! Polls! Polls! Frequently Asked Questions The (Almost) Complete Paul Anka Integrity Kick Top Top Tens Greatest Hitjobs News/Chat",0.9839,0.47595322132110596
31,31,_ssd0_data_fast-llm_opt-13b__beam_1_,"18 left in the game, Australia had a six point lead with the score sitting at 68–62 following a pair of missed free throws by Great Britain's Joni Pollock. Great Britain was"," awarded the next inbounds and Pollock drained a three point basket, closing the score to just a point with Australia up just four, with 5.0 seconds on the clock. Pollock, the 2012 FIBA Oceania 3x3 U19 Women's 3×3 Champion, drained the go ahead three to take a three point lead and Great Britain fouled to put Pollock to the free throw line to ice the match with Australia leading 75–71 with 0.0 on the",0.94478797,0.7815400958061218
32,32,_ssd0_data_fast-llm_opt-13b__beam_1_,Former president Ali Abdullah Saleh killed in Sana'a by Houthi militants Location of Yemen Collaborate! Yemeni media have said that clashes between local fighters and government forces in the southern part of," Sanaa killed Saleh on December 4, 2017, along with the Houthis. Houthis, Saleh killed in Sana’a fighting Location of Yemen Collaborate! He had previously called on Houthis to hand over power to the vice-president in return for an amnesty, and called for dialogue. Saleh ruled for 33 years. Yemeni forces kill Saleh Houthis Location of Yemen Collaborate! Houthis confirmed Saleh’s killing. Houthis, Saleh killed in Sana",0.8212447015100001,0.7775989770889282
33,33,_ssd0_data_fast-llm_opt-13b__beam_1_,"Monday, August 20, 2007 Cheonan, South Korea Germany have opened their 2007 FIFA U-17 World Cup campaign with a draw against Colombia in Cheonan, South Korea. The opening goal of the match"," was scored in the 48th minute, as Diego Rivas nodded in the opener, and Colombia looked the likelier winners in the first half, before the Koreans hit back and grabbed the equaliser on the stroke of half time through Koo Ja-Cheol. Korea started strongly in the match and forced three good saves out of the Colombia keeper. Colombia created very little and Korea created the best opportunities and in the second half Korea created the best opportunities with Lee Keun-Ho heading just over,",0.8454596535,0.5525085926055908
34,34,_ssd0_data_fast-llm_opt-13b__beam_1_,Taiwan culls 18000 chickens due to H5N2 virus outbreak Mallard in flight Collaborate! The Egyptian Health Ministry stated Friday that a 25-year-old woman from a northern neighborhood in the capital of Cairo," was found with bird flu and has since passed away, state news agency MENA said.

Egypt reports 1st human bird flu death - Agence France Presse Egyptian health ministry: First bird flu case reported in Cairo A 25-year-old Egyptian woman was diagnosed with H5N1 avian influenza on Saturday and has since passed away, Egypt’s Health Ministry announced, in what it called the first confirmed human case in the country. The ministry said it is carrying out lab",0.858552924,0.6909283995628357
35,35,_ssd0_data_fast-llm_opt-13b__beam_1_,"30 a.m. that morning A medical examiner says there was no evidence of sexual assault. Police currently believe it was a random act of violence, and may have involved the theft of"," drugs, guns, or cash. The medical examiner is waiting on toxicology tests, but the medical examiner says she's pretty certain he had taken something. The medical examiner is not saying what was in the syringe, or the needle, that caused his death. She's waiting to talk to toxicologists to be absolutely certain. She's waiting for those toxicologists to look at all the drugs found at the scene to be absolutely certain, as well. She is confident the victim took a lethal drug",0.85471776,0.4655209481716156
36,36,_ssd0_data_fast-llm_opt-13b__beam_1_,"Chinese NPC to take control of Hong Kong electoral system Location of China Collaborate! In trading Wednesday, the Chinese stock markets plunged after the government tripled a tax on securities transactions. The"," Shanghai Composite Index plummeted over seven percent at the open, with the CSI300, a barometer for large firms listed on the Shenzhen and ChiNext stock markets, slumping by around 7.7%.
Hong Kong Chief Executive Carrie Lam speaks to the press. Lam stated the NPCSC has the constitutional responsibility of interpreting the Basic Law to enact national security laws, as Beijing pushes the national security laws that threaten the semi-autonomous territory’s legal autonomy. Lam’s announcement on",0.9863,0.5532407760620117
37,37,_ssd0_data_fast-llm_opt-13b__beam_1_,"Magnitude 5.9 earthquake detected in north-east Victoria Location of Australia Collaborate! Authorities arrested a 16-year-old girl on Tuesday on an attempted murder charge after the stabbing of another 16-year-old girl, Monica Hawkins,"," outside her Melbourne high school, Eltham Girls College, on Friday, ABC reports.

Hawkins remains in the Alfred Hospital in a serious but stable condition, a police spokeswoman told Fairfax. The victim is understood to have undergone surgery, the Age reports.

Victoria Police have appealed to the public to provide them with any dash cam or mobile phone vision they have from the time the stabbing took place on the footpath outside the school about 3.25pm on Friday, the Age reports",0.9744,0.5315736532211304
38,38,_ssd0_data_fast-llm_opt-13b__beam_1_,"Sunday, January 8, 2006 Just two weeks after a join statement by Australian federal roads minister Jim Lloyd and his New South Wales counterpart Joe Tripoldi that tolls may be used to"," improve Sydney’s WestConnex motorway, it was confirmed on the weekend that tolls would not be charged. Lloyd made the decision, the first toll road not to charge users, to remove a financial disincentive for businesses and the unemployed.",1.0,0.4405195415019989
39,39,_ssd0_data_fast-llm_opt-13b__beam_1_,"Serbian Orthodox Church elects new Patriarch Porfirije Location of Russia Collaborate! Tuesday, September 11, 2018 On Sunday, reportedly over a thousand Russians were arrested for illegally protesting against government plans for pension"," reforms, with over 2,500 reportedly detained. Source: Orthodox Voices Russia Collaborate!

Patriarch Bartholomew I, Primate and Supreme Head of the worldwide Orthodox Christian Church, visited Serbia this past Sunday for the canonization of Saints Sava and John in Zemun Monastery in Belgrade, Serbia, in the presence of His Beatitude Irinej of the Serbian Orthodox Church. The Serbian Patriarch Irinej I greeted Bartholomew I. The Serbian Patriarch was",0.93892072,0.7221423983573914
40,40,_ssd0_data_fast-llm_opt-13b__beam_1_,"March 21, 2012 Apple Inc. co-founder Steve Jobs dies aged 56 Collaborate! Newsroom Style Guide – how to write Content Guide – what to write In a report on cloud computing issued"," on 21 May, Forrester predicts that Apple’s stock price will soar, Jobs, the visionary co-founder and former chief executive, has died, Jobs and Wozniak met as Stanford students, Jobs dropped out to form a computer business in their parent’s garage in 1976 and changed the face of personal technology, Steve Jobs (1955 -2011). Jobs co-founded Apple Computers and returned in 1996, Steve Jobs passed away this evening. Jobs and Steve W",0.971,0.656519889831543
41,41,_ssd0_data_fast-llm_opt-13b__beam_1_,"Police shoot teenage protester as Hong Kong demonstrations continue Location of Hong Kong Collaborate! Protestors in Hong Kong have called for the resignation of CY Leung, the Chief Executive of Hong Kong,"," on September 16, 2014 in Hong Kong, China. Demonstrators from Occupy Central With Love And Peace have occupied major thoroughfares of Central District. Police fired tear gas, bean bags, pepper spray, rubber bullets, and sponge rounds in an effort to clear protestors, with over 180 injured as a result. Demonstrators responded by hurling petrol bombs, bricks, and glass bottles, setting fires along major thoroughfares, and erecting makeshift barriers to stop the advance of riot police.",1.0,0.6719233393669128
42,42,_ssd0_data_fast-llm_opt-13b__beam_1_,"Zahra's blue eyes, in the word of the French TV authority, systematically presented Israelis and Jews in a demeaning manner, as persons without scruples, ready to steal the eyes of a Palestinian"," baby to prove to the world the barbarism of their ethnic cleansing policy. The Palestinian infant had her eyes plucked from their sockets on January 5. The crime took place at an Israeli settlement hospital. Zahra is one of more than 8,500 children with visual impairments, the overwhelming majority of whom suffer from cataracts. Zahra is blind. The Palestinian hospital's ophthalmologist said Zahra was deprived of medical attention and is at high risk for infections that can be treated.",0.974,0.48322880268096924
43,43,_ssd0_data_fast-llm_opt-13b__beam_1_,"GRN What colours will the map be October 11th? To write, edit, start or view other Canada articles, see the Canada Portal Elections Ontario David McGruer is running for the Freedom Party"," in the federal riding of Hastings—Lennox and Addington, seeking the leadership of the Freedom Party. Elections in the riding were called on January 2, 2008 and McGruer finished a disappointing last, placing a distant sixth, receiving 5,5% of the popular vote, receiving 12,000 votes, or. Elections in the riding of Hastings—Lennox and Addington, a riding that was represented in the House of Commons for forty-one years, were held on Monday,",0.75336170847,0.5962802767753601
44,44,_ssd0_data_fast-llm_opt-13b__beam_1_,"""In Iran we don't have homosexuals like in your country"". The FNA's error made international headlines, including in the United States, Canada, the United Kingdom, India, and Australia. Will Tracy, editor of"," IranWire, called the Iranian foreign minister's words a ""grave insult."" The New York Times commented, ""In Iran, Homosexuals Have No Rights"", and the Independent asked: ""Homophobia: Iranian FM Offers Homophobic Insult To Homosexuals In Western Nations.""

Homophobia
Homophobia is the irrational fear, prejudice, hatred, and discrimination directed at homosexuality, same-sex attraction, and same-sex behaviour, with negative social, legal, cultural, religious,",1.0,0.6069248914718628
45,45,_ssd0_data_fast-llm_opt-13b__beam_1_,"Saturday, July 9, 2005 A Friday protest in downtown Richmond drew around 200 protesters to Virginia's state capital to demonstrate against strip mining practices of Massey Energy Company. Demonstrators marched through town"," in order to draw attention to Massey Energy Company, an international corporation with mines all over Appalachia that is being blamed for a large number of underground sink holes, contaminated streams, and polluted aquifers in West Virginia, Virginia, Kentucky, Tennessee, Alabama, Mississippi, North Carolina, South Carolina, Georgia, Florida, Louisiana, Arkansas, Ohio, Oklahoma, Pennsylvania, Illinois, West Virginia, New Jersey, Maryland, Indiana, Missouri, Kansas and Ontario, Canada. Protesters called on Massey",0.9851,0.5244139432907104
46,46,_ssd0_data_fast-llm_opt-13b__beam_1_,"[MM] hours UTC. I’m Nicholas Turnbull. In Butthala, Sri Lanka, a bomb exploded on a civilian bus on Wednesday the 17th, killing at least twenty-three people and wounding a total of seventy."," A suicide bomber drove his motorbike up to a crowded bus, got off it, and walked over to it before setting the bomb off, police say.

This was a horrendous terrorist attack and Sri Lankans of all communities were appalled, angered, and horrified. Sri Lankans from all religions were appalled. In Sri Lanka, Buddhists are a tiny minority and I do not see Buddhists carrying out suicide bombings,” Turnbull told AFP.

Sri Lankans, Buddhists",0.9861,0.6531858444213867
47,47,_ssd0_data_fast-llm_opt-13b__beam_1_,"Monday, August 29, 2005 30A Protest - Forbes CEO Conference Related stories George H. W. Bush to attend Sydney CEO conference Thousands expected to protest at Forbes Global CEO conference in Sydney", Business Confidential The Bush Dynasty Forbes to hold Sydney CEO Conference Forbes Confidential Forbes Confidential Bush To Address Australia Business Week The Forbes CEO Forum Business Confidential Australia Bush To Speak In Australia Bush To Speak At Forbes Forum Australia Forbes Forum Confidential Australia Bush To Address Global Business Forum Bush To Speak In Sydney Business Week Forbes To Host Sydney Conference Australia Confidential Forbes To Hold Conference Bush To Speak In Australia Forbes Confidential Forbes Confidential Forbes To Hold Bush Forum Business Confidential Australia Forbes To Host Bush Business Forum,0.446390052,0.6190728545188904
48,48,_ssd0_data_fast-llm_opt-13b__beam_1_,"Internet portal Internet History of the Internet Internet censorship Internet Protocol World Wide Web In a move to open up government and embrace modern thinking on copyright, U.S. President-Elect Barack Obama's transition"," team is in the midst of forming an official copyright czar, the Washington Post reports. According to a transition aide, the copyright czar is to be charged with crafting an intellectual-property agenda, working to encourage online file-sharing, and cracking down on foreign pirates.

Obama is said to want the copyright czar to report to his Domestic Policy Council. That office would report to Valerie Jarrett, one of the transition aides in charge of assembling a policy shop, as well as the Domestic",0.9502762499999999,0.5223852396011353
49,49,_ssd0_data_fast-llm_opt-13b__beam_1_,"Olympic gold medalist Evan Lysacek gets hero's welcome in hometown Collaborate! While the Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games may be hard at work, constructing stadiums, building"," transit lines, and readying Vancouver's Whistler Blackcomb for the games, Evan Lysacek was readying the Whistler Sliding Centre.",1.0,0.5592306852340698
50,50,_ssd0_data_fast-llm_opt-13b__beam_1_,100 tons of ivory burned in Africa; estimated at $250 million on black market Location of Kenya Collaborate! Health officials have said that at least nine people were killed and over sixty, people were wounded when two grenades went off outside the Italian ambassador’s residence in Mogadishu on the first anniversary of a truck bombing there.,1.0,0.33183592557907104
51,51,_ssd0_data_fast-llm_opt-13b__beam_1_,"""At this very moment, Tibetans are facing the most severe and violent repression they have seen in decades at the hands of the Chinese government, and we have taken nonviolent action at"," their behest in an effort to call their attention to that repression,” Mr. Goldstein said.""

 Well that is some scary shit.
How the fuck are the Tibetan government going to hear his pleas from Tibet if the Chinese have locked the Tibetan people up and murdered a shit-tonne of them?
So Tibet is under martial law, the Dalai Lama has no say, the monks and nuns have all been slaughtered.

 Tibet was the cradle of buddhism.
Martial Law",0.9868,0.7134324312210083
